KITS ID,Direction,Month,Day,Hour,Day of Week,Occupancy
5,NB,1,21,20,0,4.75
5,NB,1,21,20,1,5.375
5,NB,1,21,21,0,4.125
5,NB,1,21,21,1,4.5
5,NB,1,21,22,0,3.375
5,NB,1,21,22,1,3.125
5,NB,1,21,23,0,1.25
5,NB,1,21,23,1,1.625
5,NB,1,22,0,1,0.625
5,NB,1,22,0,2,0.75
5,NB,1,22,1,1,0.25
5,NB,1,22,1,2,0.125
5,NB,1,22,2,1,0.0
5,NB,1,22,2,2,0.0
5,NB,1,22,3,1,0.0
5,NB,1,22,3,2,0.0
5,NB,1,22,4,1,0.0
5,NB,1,22,4,2,0.0
5,NB,1,22,5,1,0.0
5,NB,1,22,5,2,0.125
5,NB,1,22,6,1,2.0
5,NB,1,22,6,2,2.375
5,NB,1,22,7,1,8.0
5,NB,1,22,7,2,10.375
5,NB,1,22,8,1,23.375
5,NB,1,22,8,2,27.875
5,NB,1,22,9,1,33.375
5,NB,1,22,9,2,36.0
5,NB,1,22,10,1,9.75
5,NB,1,22,10,2,12.25
5,NB,1,22,11,1,7.25
5,NB,1,22,11,2,7.25
5,NB,1,22,12,1,7.625
5,NB,1,22,12,2,8.375
5,NB,1,22,13,1,9.0
5,NB,1,22,13,2,9.375
5,NB,1,22,14,1,8.75
5,NB,1,22,14,2,8.5
5,NB,1,22,15,1,8.625
5,NB,1,22,15,2,8.125
5,NB,1,22,16,1,9.875
5,NB,1,22,16,2,11.625
5,NB,1,22,17,1,15.75
5,NB,1,22,17,2,16.375
5,NB,1,22,18,1,19.875
5,NB,1,22,18,2,19.625
5,NB,1,22,19,1,9.25
5,NB,1,22,19,2,17.625
5,NB,1,22,20,1,6.5
5,NB,1,22,20,2,6.0
5,NB,1,22,21,1,4.5
5,NB,1,22,21,2,4.375
5,NB,1,22,22,1,3.125
5,NB,1,22,22,2,3.375
5,NB,1,22,23,1,1.875
5,NB,1,22,23,2,1.625
5,NB,1,23,0,2,0.875
5,NB,1,23,0,3,1.25
5,NB,1,23,1,2,0.25
5,NB,1,23,1,3,0.25
5,NB,1,23,2,2,0.0
5,NB,1,23,2,3,0.0
5,NB,1,23,3,2,0.0
5,NB,1,23,3,3,0.0
5,NB,1,23,4,2,0.0
5,NB,1,23,4,3,0.0
5,NB,1,23,5,2,0.125
5,NB,1,23,5,3,0.25
5,NB,1,23,6,2,2.0
5,NB,1,23,6,3,2.375
5,NB,1,23,7,2,8.25
5,NB,1,23,7,3,9.625
5,NB,1,23,8,2,26.25
5,NB,1,23,8,3,26.25
5,NB,1,23,9,2,29.625
5,NB,1,23,9,3,35.125
5,NB,1,23,10,2,12.375
5,NB,1,23,10,3,11.5
5,NB,1,23,11,2,7.875
5,NB,1,23,11,3,6.875
5,NB,1,23,12,2,8.375
5,NB,1,23,12,3,8.375
5,NB,1,23,13,2,11.0
5,NB,1,23,13,3,10.125
5,NB,1,23,14,2,9.25
5,NB,1,23,14,3,8.375
5,NB,1,23,15,2,8.875
5,NB,1,23,15,3,8.875
5,NB,1,23,16,2,8.875
5,NB,1,23,16,3,11.625
5,NB,1,23,17,2,10.25
5,NB,1,23,17,3,22.625
5,NB,1,23,18,2,13.0
5,NB,1,23,18,3,22.875
5,NB,1,23,19,2,9.125
5,NB,1,23,19,3,9.625
5,NB,1,23,20,2,6.25
5,NB,1,23,20,3,7.375
5,NB,1,23,21,2,4.875
5,NB,1,23,21,3,5.75
5,NB,1,23,22,2,3.5
5,NB,1,23,22,3,4.0
5,NB,1,23,23,2,1.75
5,NB,1,23,23,3,2.25
5,NB,1,24,0,3,1.125
5,NB,1,24,0,4,1.125
5,NB,1,24,1,3,0.5
5,NB,1,24,1,4,0.25
5,NB,1,24,2,3,0.0
5,NB,1,24,2,4,0.0
5,NB,1,24,3,3,0.0
5,NB,1,24,3,4,0.0
5,NB,1,24,4,3,0.0
5,NB,1,24,4,4,0.0
5,NB,1,24,5,3,0.0
5,NB,1,24,5,4,0.125
5,NB,1,24,6,3,2.125
5,NB,1,24,6,4,2.25
5,NB,1,24,7,3,8.0
5,NB,1,24,7,4,9.0
5,NB,1,24,8,3,27.375
5,NB,1,24,8,4,30.125
5,NB,1,24,9,3,35.125
5,NB,1,24,9,4,30.0
5,NB,1,24,10,3,18.25
5,NB,1,24,10,4,21.25
